Age,Previously_Insured,Vehicle_Damage,Annual_Premium,Vintage
42,1,0,34944.0,239
64,0,1,33037.0,214
49,0,1,35770.0,78
49,0,1,27535.0,207
28,1,0,28086.0,250
77,1,0,30667.0,296
45,0,1,60953.0,223
21,0,1,36019.0,74
22,1,0,25883.0,204
20,0,1,2630.0,77
48,0,1,39713.0,157
24,1,0,51482.0,103
47,0,1,42651.0,28
56,1,0,32564.0,140
42,0,0,34353.0,284
22,0,1,74943.0,257
78,0,1,49093.0,12
56,0,1,2630.0,178
29,1,0,57615.0,101
22,1,0,28067.0,42
22,1,0,49714.0,225
26,1,0,2630.0,146
24,1,0,36216.0,98
43,0,1,2630.0,25
21,0,1,33621.0,285
42,0,1,27635.0,288
23,1,0,2630.0,238
28,0,0,37686.0,268
61,1,0,27227.0,217
70,0,1,30421.0,62
78,0,1,42781.0,187
22,0,0,35250.0,227
50,0,1,33696.0,249
57,0,1,2630.0,106
30,1,0,2630.0,134
40,0,1,35030.0,219
32,0,1,2630.0,240
40,1,0,38475.0,162
38,1,0,42006.0,269
40,0,1,61984.0,84
27,1,0,40255.0,70
59,0,1,61868.0,86
46,0,1,40500.0,36
34,1,0,2630.0,231
59,0,0,26028.0,240
23,0,1,36276.0,287
53,1,0,2630.0,256
56,0,0,33641.0,40
25,1,0,45469.0,162
36,0,1,33321.0,78
48,0,1,57851.0,198
62,0,1,39505.0,164
43,0,1,44402.0,148
25,1,0,46805.0,234
54,1,0,26663.0,127
22,1,0,39153.0,42
56,0,1,29119.0,170
32,1,0,34953.0,138
24,1,0,20375.0,147
22,0,1,2630.0,277
30,0,0,2630.0,236
40,0,1,31817.0,202
68,1,0,26048.0,299
25,1,0,41473.0,192
30,1,0,27828.0,132
23,1,0,2630.0,157
51,1,0,45840.0,58
24,0,1,50117.0,291
40,1,0,37958.0,261
44,0,1,46536.0,233
42,0,1,36349.0,189
45,0,1,36121.0,19
43,1,0,33907.0,280
44,0,1,33594.0,229
36,0,1,38735.0,250
34,0,1,40969.0,238
28,1,0,34533.0,90
62,0,1,41531.0,156
67,0,1,25929.0,79
41,0,1,29990.0,28
49,0,1,25165.0,284
40,0,1,43185.0,42
72,1,0,45285.0,297
25,1,0,26711.0,236
52,0,1,2630.0,281
28,1,0,43046.0,93
46,1,0,51602.0,242
24,1,0,29608.0,212
59,1,1,48134.0,158
56,1,0,37469.0,272
43,0,1,34609.0,34
28,0,1,52450.0,224
68,0,1,2630.0,296
50,1,0,50890.0,96
24,1,0,24600.0,292
41,0,1,55230.0,75
48,0,1,2630.0,141
31,0,1,30467.0,160
22,0,1,31219.0,253
42,0,1,31218.0,277
25,1,0,28136.0,178
25,1,0,35310.0,250
69,0,1,35457.0,292
42,0,1,26604.0,215
45,1,0,30473.0,11
59,1,0,46770.0,264
42,0,1,50666.0,85
39,0,1,44185.0,237
45,0,1,28278.0,208
37,0,1,2630.0,44
26,1,0,21798.0,174
40,0,1,29457.0,34
21,0,1,2630.0,38
24,1,0,49288.0,182
58,0,1,37414.0,268
27,1,0,36279.0,234
33,0,1,30824.0,169
20,0,1,42739.0,154
37,1,0,2630.0,201
24,0,0,58354.0,290
29,0,1,37295.0,202
22,1,0,32070.0,21
66,1,0,45663.0,32
21,0,1,33809.0,187
59,1,1,34858.0,280
70,0,1,48139.0,111
22,1,0,69521.0,196
58,1,0,62160.0,116
69,0,1,27646.0,255
27,1,0,51355.0,131
69,0,1,60244.0,236
69,1,0,39767.0,257
26,0,0,22110.0,126
23,0,1,29240.0,46
53,0,0,34550.0,170
45,1,0,2630.0,66
42,0,1,29764.0,149
24,1,0,64007.0,39
42,0,1,2630.0,35
25,0,1,41635.0,31
42,1,0,26013.0,282
26,1,0,29850.0,205
25,1,0,28107.0,130
21,1,0,28013.0,177
43,0,1,2630.0,217
50,1,0,32305.0,295
65,0,1,41131.0,96
22,0,1,2630.0,55
44,0,1,39161.0,28
26,1,0,34956.0,193
28,1,1,30584.0,131
52,0,1,2630.0,161
21,0,1,26600.0,296
51,0,1,2630.0,142
65,1,1,29959.0,139
80,1,1,30321.0,50
35,0,1,22622.0,223
53,0,1,32695.0,250
43,0,1,2630.0,12
54,1,0,42800.0,210
32,1,0,24006.0,198
28,1,0,32175.0,94
21,1,0,37542.0,156
34,0,0,2630.0,193
41,0,1,36817.0,14
52,1,0,25302.0,94
56,0,1,2630.0,242
44,0,1,33253.0,181
68,0,1,43381.0,12
55,0,1,42118.0,228
25,1,0,31240.0,39
22,0,1,36108.0,198
71,0,1,30062.0,128
22,1,0,30112.0,178
53,0,1,2630.0,215
20,0,1,20803.0,19
43,1,0,55671.0,56
23,0,0,36902.0,103
29,1,0,29000.0,289
23,0,1,26074.0,236
22,0,1,28333.0,104
44,1,0,29963.0,94
56,1,0,22581.0,38
42,0,1,19961.0,283
23,1,0,34672.0,195
25,1,0,43308.0,254
42,1,0,59252.0,148
26,1,0,26785.0,250
57,0,1,39481.0,193
42,0,1,35633.0,50
24,0,1,37250.0,282
21,1,0,39309.0,30
26,0,1,41579.0,213
51,0,1,54566.0,39
29,1,0,32682.0,220
44,0,1,34854.0,24
44,0,1,2630.0,227
53,1,0,2630.0,212
26,1,0,41675.0,33
23,0,1,39758.0,91
27,0,1,39203.0,114
35,0,1,2630.0,57
28,1,0,39804.0,244
31,1,0,35596.0,232
23,1,0,28221.0,286
23,0,1,30863.0,58
38,0,1,26039.0,152
49,0,1,38027.0,46
44,0,1,31338.0,280
24,0,0,25295.0,177
43,0,0,41129.0,145
25,1,0,32706.0,227
51,1,0,56262.0,101
25,0,1,80582.0,184
48,0,1,40256.0,212
21,1,0,40034.0,24
57,0,1,50303.0,102
55,0,1,2630.0,234
26,1,0,19954.0,104
23,1,0,24571.0,163
26,1,0,68235.0,64
36,1,0,25676.0,240
25,1,0,2630.0,59
70,0,0,41402.0,17
73,0,1,51425.0,226
37,0,1,34667.0,105
27,0,0,2630.0,191
24,0,1,30633.0,142
67,0,1,50898.0,95
79,1,0,2630.0,21
45,0,1,2630.0,158
23,0,1,22130.0,28
39,0,1,2630.0,169
35,0,1,27214.0,270
55,0,0,39282.0,216
20,0,0,2630.0,95
35,0,1,2630.0,32
51,0,1,2630.0,232
26,1,0,28019.0,42
24,1,0,31473.0,48
66,1,0,31378.0,116
45,0,1,2630.0,77
44,0,1,2630.0,42
47,0,1,21390.0,273
25,1,0,34115.0,106
41,0,1,34119.0,52
21,1,0,35490.0,236
60,0,1,2630.0,149
33,1,0,36475.0,15
36,0,1,45767.0,102
47,0,1,60413.0,298
34,0,0,24979.0,171
29,1,0,44991.0,265
37,0,1,47081.0,67
24,1,0,34475.0,142
64,1,0,2630.0,135
26,1,0,32793.0,196
74,0,1,53297.0,68
22,0,0,42115.0,53
25,0,1,21416.0,224
80,1,0,37481.0,208
32,0,1,2630.0,224
47,0,1,2630.0,226
35,1,0,22667.0,56
24,1,0,35006.0,40
69,0,1,53861.0,30
21,0,1,32856.0,183
22,1,0,48528.0,34
44,1,0,2630.0,104
31,1,0,2630.0,94
44,0,1,31999.0,34
21,1,0,35703.0,169
21,0,1,52202.0,162
64,0,0,35600.0,51
42,1,0,30693.0,247
46,0,1,2630.0,280
23,0,1,27370.0,87
53,1,0,39993.0,28
44,0,1,35956.0,263
25,1,0,24640.0,182
35,1,0,51335.0,101
57,1,0,36513.0,10
42,0,1,27501.0,107
67,0,1,31431.0,275
63,0,1,36290.0,185
27,0,0,2630.0,21
56,0,1,2630.0,161
30,0,1,2630.0,84
46,0,1,32104.0,109
26,1,0,27683.0,216
54,0,1,45667.0,275
42,1,0,30404.0,256
34,1,0,42094.0,279
41,0,1,2630.0,278
77,0,1,35191.0,181
47,1,0,38226.0,52
31,1,0,25193.0,162
24,0,1,33923.0,275
22,0,1,55540.0,21
24,1,0,29569.0,229
34,0,1,28003.0,108
39,0,1,25015.0,217
27,1,0,45097.0,82
21,0,1,19392.0,298
23,1,0,22914.0,90
23,1,0,36108.0,239
24,1,0,24892.0,37
21,1,0,49695.0,188
22,1,0,29166.0,255
40,0,0,31243.0,105
61,0,0,38337.0,190
24,1,1,28173.0,153
24,0,1,24909.0,10
25,1,0,29244.0,60
62,0,1,2630.0,206
42,0,1,55895.0,91
21,1,0,26931.0,167
29,1,0,2630.0,104
50,1,0,34390.0,252
58,0,1,37037.0,210
27,1,0,25328.0,147
27,0,1,31623.0,143
40,1,0,58122.0,179
22,1,0,26158.0,289
45,0,0,32500.0,147
56,0,1,24358.0,290
55,0,0,2630.0,222
32,0,1,23105.0,96
46,0,1,48438.0,60
70,1,0,35846.0,181
57,0,1,2630.0,77
53,0,1,37509.0,201
32,0,1,31182.0,217
23,1,0,20738.0,181
28,1,0,2630.0,108
24,1,0,32197.0,119
24,1,0,32178.0,41
67,0,1,30510.0,182
55,0,1,2630.0,56
23,1,0,29592.0,221
78,1,0,29418.0,191
44,0,1,55308.0,238
24,1,0,24451.0,200
22,1,0,44904.0,109
24,1,0,20138.0,12
24,1,0,34264.0,259
62,0,1,36696.0,93
47,0,1,40173.0,279
51,0,1,2630.0,148
68,0,1,29676.0,91
45,0,1,40836.0,61
40,0,1,32274.0,65
21,0,1,33164.0,103
41,1,0,2630.0,71
55,0,1,48514.0,99
41,0,1,2630.0,80
22,0,1,37161.0,41
39,0,1,28391.0,234
61,0,1,2630.0,59
22,1,0,36722.0,267
42,1,0,29971.0,81
36,0,1,67816.0,180
23,1,0,24177.0,18
52,1,0,46058.0,289
49,0,1,24724.0,31
24,1,0,60743.0,121
26,1,0,2630.0,33
36,1,0,30477.0,75
21,1,0,57968.0,256
45,0,1,38292.0,44
41,1,0,47107.0,164
49,0,1,29984.0,200
66,0,1,54602.0,46
21,0,1,27713.0,251
33,0,1,2630.0,27
24,1,0,19199.0,136
53,0,1,2630.0,89
24,1,0,50993.0,114
23,1,0,2630.0,187
23,1,0,23075.0,119
23,1,0,54502.0,38
23,1,1,31986.0,132
47,1,0,32855.0,67
20,0,1,34296.0,182
27,1,0,24934.0,153
41,0,0,27629.0,263
43,1,0,39975.0,274
25,1,0,61710.0,291
25,0,0,2630.0,44
58,0,1,52137.0,197
60,0,1,53038.0,236
24,1,0,28550.0,242
77,1,0,59816.0,147
25,1,0,2630.0,34
50,0,1,37586.0,252
47,1,0,29197.0,220
49,0,1,34598.0,196
45,0,1,38237.0,84
79,1,0,43450.0,25
39,1,0,33044.0,127
23,1,0,50263.0,174
23,1,0,28821.0,16
23,1,0,27487.0,42
21,1,0,29399.0,209
43,0,1,90262.0,239
55,0,1,38108.0,120
26,1,0,49614.0,273
23,1,0,43722.0,184
25,1,0,35194.0,246
21,0,0,18317.0,147
34,1,0,29647.0,105
24,1,0,21119.0,191
25,0,1,26329.0,60
45,1,1,12891.0,187
22,1,0,24149.0,212
53,0,1,38989.0,258
25,1,0,2630.0,272
24,1,0,21517.0,222
26,1,0,32080.0,182
25,0,1,21328.0,181
24,1,0,28480.0,175
23,0,1,45849.0,165
39,0,1,29122.0,295
22,0,1,33041.0,290
72,1,0,31676.0,170
29,1,0,38228.0,186
41,0,1,47355.0,30
40,1,0,43684.0,92
25,1,0,26032.0,199
22,1,0,24075.0,183
23,0,0,2630.0,173
27,1,0,25734.0,270
35,1,0,29839.0,231
30,1,0,35019.0,94
24,0,1,28957.0,297
21,0,0,2630.0,184
53,1,0,2630.0,106
20,0,1,39992.0,207
25,0,1,40832.0,12
31,1,0,27899.0,87
22,1,0,18538.0,281
32,1,0,68900.0,13
24,1,0,25962.0,241
73,0,1,2630.0,31
35,0,0,47990.0,216
47,0,1,2630.0,142
48,0,1,2630.0,79
32,1,0,28787.0,22
48,1,0,2630.0,61
23,1,0,46089.0,282
24,1,0,35155.0,108
21,0,0,38271.0,67
35,1,0,27895.0,64
55,1,0,2630.0,112
23,1,0,21682.0,137
74,0,0,34412.0,266
50,0,1,39152.0,232
68,0,0,40333.0,63
52,0,1,2630.0,206
21,0,1,33685.0,49
43,0,1,32539.0,205
25,0,0,2630.0,140
26,0,1,2630.0,51
23,1,0,33564.0,165
51,0,0,28558.0,186
53,0,1,39296.0,29
26,0,1,54424.0,128
58,0,1,2630.0,10
35,0,1,34831.0,197
67,0,1,23408.0,24
52,0,1,32073.0,28
59,1,0,53793.0,60
41,0,1,2630.0,279
26,1,0,29361.0,228
75,0,1,39049.0,99
51,0,1,2630.0,236
42,1,1,43530.0,38
25,1,0,27253.0,193
21,1,0,29641.0,142
43,0,1,2630.0,279
24,0,1,2630.0,69
63,0,1,40816.0,299
26,1,0,35611.0,23
37,0,0,35380.0,269
23,0,1,2630.0,109
22,1,0,44846.0,171
22,0,1,2630.0,104
23,0,1,40297.0,151
66,0,1,2630.0,70
71,1,0,28459.0,178
45,1,0,38850.0,222
27,1,0,40984.0,48
62,0,1,37681.0,120
38,1,0,2630.0,78
72,0,1,27656.0,243
35,0,1,37622.0,242
28,0,1,2630.0,227
22,1,0,35176.0,273
24,0,1,2630.0,244
31,1,0,23509.0,25
20,0,1,2630.0,266
29,1,0,44756.0,23
58,1,0,36907.0,140
53,0,1,31208.0,244
22,1,1,26096.0,195
64,1,0,32415.0,59
53,1,0,38787.0,12
49,1,0,2630.0,252
68,1,0,64700.0,178
39,1,0,35391.0,213
48,0,1,25287.0,259
22,0,0,2630.0,263
26,1,0,2630.0,105
65,0,1,30411.0,83
52,1,1,50842.0,225
45,0,1,48217.0,253
27,1,0,46825.0,18
53,0,1,34904.0,150
26,0,1,46202.0,140
40,0,1,51893.0,195
21,0,1,26989.0,80
34,1,0,30877.0,224
60,0,1,49684.0,266
22,1,0,30575.0,128
29,1,0,42905.0,252
27,1,0,2630.0,189
23,1,0,43107.0,159
53,0,1,38360.0,297
63,0,1,48203.0,254
37,1,0,26908.0,27
24,1,0,36722.0,14
52,1,0,70052.0,118
51,0,1,44152.0,296
30,1,0,42427.0,155
35,1,0,28515.0,261
24,1,0,23905.0,65
26,1,0,47218.0,121
40,0,1,33108.0,67
29,1,0,30086.0,72
27,1,0,23511.0,110
42,0,1,30252.0,239
55,0,1,27081.0,243
29,1,0,27750.0,120
25,1,0,45631.0,260
28,0,1,2630.0,11
24,1,0,25368.0,35
38,1,0,22309.0,135
31,0,1,26108.0,13
21,1,0,33321.0,22
63,0,1,31326.0,22
24,1,0,27702.0,174
47,1,0,38439.0,120
43,1,0,2630.0,148
50,0,1,23009.0,92
26,1,0,2630.0,85
23,1,0,50922.0,169
24,1,0,41940.0,73
49,1,0,23414.0,85
54,1,0,26066.0,203
46,0,1,24235.0,178
54,0,1,2630.0,238
24,0,0,61513.0,265
60,0,1,34694.0,151
46,0,1,43357.0,63
27,1,0,30528.0,182
37,0,1,27860.0,120
67,0,1,35293.0,124
25,1,0,25900.0,48
26,1,1,2630.0,110
21,1,0,2630.0,181
56,0,1,29550.0,82
37,1,0,40724.0,222
20,1,1,37992.0,209
44,0,1,36536.0,118
24,0,0,25261.0,107
42,0,1,2630.0,274
22,0,1,38028.0,109
33,0,1,38833.0,139
36,0,1,2630.0,241
20,0,1,38824.0,200
21,0,1,37447.0,184
36,0,1,37051.0,115
77,0,1,2630.0,281
25,0,1,79524.0,110
35,0,1,2630.0,222
35,1,0,38300.0,177
59,1,0,2630.0,64
24,1,0,30630.0,255
28,1,0,2630.0,235
21,0,1,28617.0,62
47,0,1,2630.0,225
23,0,1,22981.0,281
52,0,1,42968.0,33
35,0,1,2630.0,269
54,0,1,2630.0,299
41,0,1,29821.0,33
27,1,0,22964.0,225
23,1,0,37923.0,251
77,1,0,24891.0,108
63,1,0,28941.0,111
49,0,1,31834.0,275
39,0,1,35618.0,89
44,0,1,37674.0,158
44,1,0,41308.0,29
43,1,0,46710.0,40
42,1,0,2630.0,291
23,0,1,42256.0,128
21,0,0,20939.0,288
63,1,0,30923.0,164
62,1,0,43011.0,118
26,1,1,33574.0,262
23,1,0,55746.0,132
40,1,0,32226.0,105
24,1,0,33334.0,285
23,1,0,34758.0,191
31,1,0,2630.0,80
25,1,0,35753.0,258
67,0,1,31524.0,27
40,0,1,25848.0,198
67,0,1,2630.0,103
80,1,0,53313.0,118
71,0,1,36632.0,249
21,1,0,2630.0,274
31,0,1,28391.0,95
26,0,1,2630.0,67
29,0,0,38518.0,36
42,1,0,32665.0,176
24,0,1,40782.0,133
47,0,1,29682.0,283
20,0,1,2630.0,38
67,0,1,35985.0,106
50,1,0,48220.0,28
44,1,0,2630.0,21
25,1,0,32819.0,298
44,1,0,24952.0,296
29,0,1,41212.0,48
51,1,0,23663.0,204
45,0,1,2630.0,212
26,0,1,35385.0,277
23,1,0,44224.0,158
45,0,1,26218.0,90
49,0,1,36439.0,253
24,1,0,32232.0,40
35,0,1,2630.0,49
47,0,1,34119.0,83
49,0,1,47148.0,26
58,0,1,30435.0,236
53,1,0,2630.0,166
29,0,1,57976.0,121
26,0,1,31536.0,119
23,0,1,25786.0,73
27,1,0,23511.0,120
26,1,0,25493.0,167
40,0,1,23018.0,108
68,0,1,2630.0,77
26,1,0,28208.0,44
50,0,1,24404.0,65
39,0,1,25894.0,97
45,0,1,2630.0,192
43,0,1,25522.0,259
41,0,1,38907.0,131
32,0,1,21369.0,231
66,0,1,32106.0,50
21,0,1,28911.0,188
23,1,0,31765.0,136
49,0,1,33421.0,191
34,0,1,2630.0,118
62,1,0,35812.0,110
21,1,0,24879.0,212
21,0,1,26538.0,41
23,1,0,35868.0,269
27,1,0,54328.0,211
54,0,1,31420.0,112
25,1,0,40278.0,82
25,1,0,28034.0,186
23,1,0,38605.0,71
44,0,1,84397.0,272
24,1,0,37142.0,94
22,0,0,2630.0,278
27,1,0,31074.0,116
42,0,1,48756.0,206
40,0,1,2630.0,96
44,0,1,43242.0,275
24,1,0,51779.0,153
54,1,0,2630.0,255
69,1,0,30065.0,98
61,1,0,28642.0,119
25,1,0,18212.0,265
41,0,1,60442.0,148
58,0,1,54561.0,200
32,0,1,38607.0,285
26,0,1,34155.0,54
28,0,1,31483.0,66
25,1,0,49464.0,184
24,1,0,27455.0,223
24,1,0,22784.0,251
43,0,1,23342.0,178
79,1,0,34011.0,267
26,1,0,33565.0,208
56,1,0,34555.0,102
35,1,0,45763.0,14
21,1,0,30178.0,44
26,1,0,31885.0,125
28,1,0,25697.0,47
27,1,0,17680.0,229
69,0,0,56507.0,232
29,0,1,37835.0,219
24,1,0,30699.0,216
25,1,0,52127.0,73
59,0,1,28286.0,221
21,0,1,26468.0,212
34,0,1,2630.0,240
34,0,0,32642.0,63
37,0,1,2630.0,61
51,1,0,28285.0,27
23,1,0,41363.0,146
62,0,0,31350.0,81
71,1,0,24573.0,232
28,1,0,35753.0,292
50,0,1,37016.0,185
42,0,1,50263.0,196
26,1,0,2630.0,78
73,0,1,49784.0,205
53,0,1,2630.0,156
35,1,0,33717.0,63
26,0,1,2630.0,245
65,0,1,43180.0,269
60,0,0,31889.0,87
21,0,0,23875.0,70
44,0,1,62299.0,113
29,1,0,31085.0,86
41,1,0,2630.0,193
24,1,0,50022.0,71
28,0,1,32540.0,13
46,1,0,28340.0,297
71,0,0,34594.0,250
29,1,0,30930.0,68
24,1,0,43815.0,207
70,0,1,27949.0,109
42,0,1,27204.0,84
70,1,0,2630.0,112
